customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,num_support_calls,churn
60,34,53.83,966.78,Month-to-month,Fiber optic,Yes,Credit card,0,1
61,62,112.81,7471.32,One year,Fiber optic,No,Credit card,1,0
62,14,42.46,5477.25,One year,No,No,Bank transfer,1,1
63,48,57.22,4261.95,Month-to-month,Fiber optic,No,Credit card,1,1
64,15,63.21,280.62,Month-to-month,Fiber optic,No,Mailed check,1,1
65,62,63.94,3815.26,Month-to-month,DSL,Yes,Bank transfer,0,1
66,40,81.29,3273.83,Month-to-month,Fiber optic,No,Bank transfer,1,1
67,53,114.31,1306.53,Two year,No,Yes,Bank transfer,3,0
68,24,44.07,5258.15,Month-to-month,Fiber optic,No,Mailed check,4,1
69,26,32.15,7769.78,Month-to-month,No,No,Bank transfer,1,1
70,60,39.75,4506.27,One year,Fiber optic,Yes,Credit card,0,0
71,41,108.69,5723.73,Month-to-month,DSL,No,Credit card,1,0
72,29,84.58,566.23,Month-to-month,DSL,No,Credit card,0,1
73,15,48.59,3352.98,Month-to-month,DSL,No,Credit card,1,1
74,45,101.59,948.54,Two year,Fiber optic,No,Bank transfer,2,0
75,65,106.14,4910.11,Two year,Fiber optic,Yes,Mailed check,3,0
76,71,104.65,7509.09,Two year,DSL,No,Electronic check,2,0
77,9,111.89,5300.99,Month-to-month,Fiber optic,No,Credit card,0,1
78,1,45.22,632.89,One year,Fiber optic,No,Electronic check,0,0
79,8,95.5,2850.24,Month-to-month,Fiber optic,Yes,Electronic check,1,0
80,63,66.05,4414.29,Month-to-month,DSL,No,Bank transfer,1,1
81,11,104.2,3237.6,Month-to-month,DSL,Yes,Credit card,4,1
82,8,92.85,6672.48,One year,DSL,Yes,Credit card,1,0
83,35,97.64,6521.07,Month-to-month,DSL,No,Credit card,2,0
84,35,85.62,4902.41,Month-to-month,DSL,No,Electronic check,0,1
85,33,37.74,3000.19,Month-to-month,DSL,No,Credit card,3,0
86,5,74.5,2057.58,Month-to-month,Fiber optic,No,Credit card,1,1
87,41,118.47,864.88,One year,DSL,No,Mailed check,1,0
88,28,113.74,2852.08,Month-to-month,No,Yes,Bank transfer,2,0
89,7,24.32,3317.12,One year,DSL,No,Credit card,3,0
90,12,36.48,5413.07,Month-to-month,DSL,Yes,Credit card,0,1
91,34,33.17,5272.12,Two year,Fiber optic,No,Bank transfer,3,0
92,33,92.6,579.46,One year,DSL,Yes,Bank transfer,4,1
93,48,101.78,3174.17,Month-to-month,No,Yes,Electronic check,5,1
94,23,41.35,1470.6,Month-to-month,DSL,No,Electronic check,0,1
95,62,70.59,1271.37,One year,No,Yes,Electronic check,0,0
96,37,104.07,6621.87,Two year,No,Yes,Bank transfer,0,0
97,44,93.28,354.48,Month-to-month,Fiber optic,No,Mailed check,0,1
98,35,74.22,3365.08,Month-to-month,Fiber optic,Yes,Credit card,1,1
99,65,79.03,1362.27,Two year,Fiber optic,Yes,Bank transfer,1,0
100,47,70.84,7037.06,One year,Fiber optic,Yes,Mailed check,0,0
101,3,49.75,4465.18,Month-to-month,Fiber optic,No,Bank transfer,0,1
102,1,76.5,1866.42,Month-to-month,DSL,No,Mailed check,2,1
103,5,88.89,4029.37,Month-to-month,DSL,No,Bank transfer,3,1
104,14,107.33,5857.26,One year,Fiber optic,No,Bank transfer,3,0
105,27,83.63,7665.78,Month-to-month,Fiber optic,Yes,Mailed check,0,0
106,9,96.11,1779.16,Two year,No,No,Mailed check,4,0
107,15,36.01,7091.73,Month-to-month,DSL,Yes,Mailed check,2,1
108,42,66.16,7475.75,Month-to-month,No,No,Mailed check,1,1
109,51,20.93,7333.04,One year,DSL,No,Mailed check,0,0
110,63,44.67,5090.61,Two year,Fiber optic,No,Mailed check,2,0
111,52,92.65,5045.97,Two year,DSL,Yes,Mailed check,1,0
112,4,119.18,3237.62,Month-to-month,Fiber optic,Yes,Mailed check,2,1
113,23,29.92,6024.14,One year,DSL,No,Bank transfer,3,0
114,15,60.15,4259.73,One year,Fiber optic,Yes,Mailed check,2,0
115,43,100.01,5425.96,Month-to-month,No,No,Mailed check,4,1
116,29,40.4,3439.09,Month-to-month,Fiber optic,No,Bank transfer,2,1
117,36,75.51,5857.34,Month-to-month,Fiber optic,No,Bank transfer,0,1
118,13,93.31,6599.28,Month-to-month,No,Yes,Electronic check,2,1
119,32,81.6,1188.56,Two year,Fiber optic,No,Electronic check,0,0
120,71,38.8,6666.78,Month-to-month,Fiber optic,No,Mailed check,3,1
121,59,55.54,4331.57,Two year,DSL,No,Mailed check,0,0
122,28,98.38,6760.43,Month-to-month,No,Yes,Electronic check,1,1
123,66,75.42,3461.79,One year,Fiber optic,Yes,Electronic check,0,0
124,42,20.52,3044.74,Month-to-month,DSL,Yes,Credit card,2,1
125,45,96.1,7322.18,Month-to-month,DSL,Yes,Credit card,0,0
126,62,23.53,2024.33,Month-to-month,No,No,Mailed check,1,1
127,57,94.57,6756.81,Month-to-month,DSL,No,Credit card,0,1
128,6,40.25,3882.48,One year,No,Yes,Electronic check,1,0
129,28,115.81,4122.48,Month-to-month,DSL,No,Mailed check,3,1
130,28,56.79,2481.58,One year,Fiber optic,Yes,Bank transfer,2,0
131,44,52.69,4592.88,Month-to-month,Fiber optic,Yes,Bank transfer,0,0
132,30,34.89,2615.19,Month-to-month,Fiber optic,Yes,Electronic check,1,0
133,62,50.56,333.37,Month-to-month,No,Yes,Credit card,2,1
134,62,107.67,2190.55,Two year,Fiber optic,No,Bank transfer,1,0
135,1,119.63,70.9,One year,Fiber optic,Yes,Credit card,1,1
136,27,56.83,7827.27,Month-to-month,DSL,No,Bank transfer,1,1
137,62,64.86,7726.66,Month-to-month,DSL,No,Credit card,0,1
138,3,92.21,3173.34,Month-to-month,DSL,No,Bank transfer,1,1
139,70,108.62,5832.4,Two year,Fiber optic,Yes,Bank transfer,0,0
140,27,79.3,2779.53,One year,DSL,Yes,Mailed check,0,0
141,9,59.15,5375.32,Month-to-month,DSL,Yes,Mailed check,2,1
142,62,61.26,6447.33,One year,Fiber optic,No,Electronic check,1,0
143,37,89.56,7575.11,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
144,51,20.32,3213.69,Two year,Fiber optic,No,Credit card,2,0
145,44,81.96,6270.72,Month-to-month,DSL,No,Bank transfer,1,1
146,24,55.55,2142.11,One year,DSL,No,Credit card,2,0
147,59,99.42,7922.85,Month-to-month,No,No,Credit card,0,1
148,32,29.3,225.64,One year,DSL,Yes,Bank transfer,0,0
149,52,78.82,4836.16,One year,No,No,Credit card,5,1
150,62,68.1,5282.86,One year,No,No,Electronic check,0,0
151,58,84.23,5510.6,One year,Fiber optic,No,Mailed check,0,0
152,52,26.49,980.69,Two year,DSL,No,Credit card,1,0
153,12,78.0,7509.47,Month-to-month,No,No,Bank transfer,0,0
154,39,76.15,1465.84,Month-to-month,Fiber optic,Yes,Mailed check,0,0
155,2,76.07,4989.57,Month-to-month,Fiber optic,Yes,Electronic check,0,1
156,3,80.35,1796.96,Two year,DSL,Yes,Credit card,1,0
157,56,87.65,2471.59,Month-to-month,DSL,Yes,Credit card,2,0
158,59,100.5,4380.74,One year,DSL,Yes,Mailed check,0,1
159,2,46.98,3349.2,One year,Fiber optic,No,Credit card,1,1
160,2,102.5,1298.6,Month-to-month,Fiber optic,No,Bank transfer,1,1
161,54,69.83,1384.07,Month-to-month,Fiber optic,No,Mailed check,2,1
162,1,27.71,3356.8,Month-to-month,Fiber optic,No,Mailed check,1,1
163,19,25.86,6063.12,Month-to-month,Fiber optic,No,Credit card,1,1
164,2,53.42,7185.76,Month-to-month,Fiber optic,Yes,Electronic check,3,1
165,53,98.49,691.34,Month-to-month,No,Yes,Electronic check,1,0
166,44,90.77,3156.97,Two year,DSL,No,Electronic check,0,0
167,32,98.86,819.96,Two year,Fiber optic,Yes,Electronic check,0,0
168,70,71.73,152.41,Month-to-month,DSL,Yes,Mailed check,0,1
169,32,64.02,5300.52,Month-to-month,Fiber optic,Yes,Mailed check,2,0
170,68,34.75,4827.55,Month-to-month,Fiber optic,Yes,Credit card,5,0
171,55,52.82,1320.89,One year,No,No,Electronic check,4,1
172,56,63.4,1885.83,Two year,DSL,No,Electronic check,1,0
173,17,28.86,209.19,Month-to-month,No,No,Credit card,0,0
174,38,42.06,6682.88,Month-to-month,DSL,No,Credit card,3,1
175,24,79.82,7798.03,One year,Fiber optic,Yes,Credit card,3,0
176,69,93.57,1100.97,One year,DSL,Yes,Bank transfer,2,0
177,70,119.83,1867.17,Month-to-month,No,Yes,Credit card,0,0
178,11,113.31,6949.91,One year,Fiber optic,Yes,Credit card,1,0
179,16,84.26,7413.18,Month-to-month,Fiber optic,No,Bank transfer,1,1
180,59,62.12,3368.63,Month-to-month,No,No,Electronic check,2,1
181,70,83.62,423.97,One year,DSL,No,Mailed check,4,0
182,3,98.57,334.35,Two year,DSL,Yes,Electronic check,1,0
183,20,31.83,4600.12,Month-to-month,No,No,Mailed check,1,0
184,59,60.99,3155.3,Two year,DSL,No,Mailed check,1,0
185,36,103.98,248.65,Month-to-month,DSL,No,Credit card,2,1
186,19,58.38,4674.35,One year,Fiber optic,No,Credit card,2,0
187,67,77.19,110.19,Month-to-month,Fiber optic,No,Bank transfer,3,1
188,19,78.78,6303.23,Two year,DSL,No,Electronic check,0,0
189,20,38.45,2465.33,Two year,DSL,No,Electronic check,0,0
190,71,56.22,341.26,Month-to-month,DSL,Yes,Mailed check,3,0
191,52,53.45,4715.05,Two year,Fiber optic,No,Credit card,0,0
192,33,22.62,3193.52,Two year,No,Yes,Credit card,2,0
193,40,22.42,7790.93,One year,No,Yes,Electronic check,1,0
194,39,103.17,4362.71,Month-to-month,Fiber optic,No,Bank transfer,1,1
195,1,47.31,2216.41,Two year,DSL,No,Credit card,1,0
196,11,71.81,5681.32,Two year,No,Yes,Bank transfer,1,0
197,57,49.87,2186.51,Month-to-month,Fiber optic,No,Electronic check,0,1
198,50,114.07,7235.86,Two year,DSL,Yes,Electronic check,2,0
199,23,45.93,3010.28,Month-to-month,No,No,Bank transfer,3,1
200,31,62.97,4407.95,Month-to-month,Fiber optic,No,Credit card,3,1
201,42,107.27,423.57,Month-to-month,Fiber optic,No,Electronic check,1,0
202,7,104.19,3420.45,One year,Fiber optic,No,Mailed check,2,1
203,16,38.61,6662.26,One year,DSL,Yes,Electronic check,2,0
204,60,100.26,6449.08,Month-to-month,DSL,No,Credit card,2,1
205,2,65.82,1810.06,Two year,Fiber optic,Yes,Mailed check,1,0
206,1,68.3,1824.11,Month-to-month,DSL,No,Electronic check,3,1
207,48,33.35,6542.1,Month-to-month,Fiber optic,No,Credit card,1,1
208,12,28.06,7444.58,Month-to-month,Fiber optic,No,Credit card,1,1
209,69,92.79,780.98,One year,Fiber optic,Yes,Electronic check,1,1
210,37,69.65,3611.47,Two year,Fiber optic,Yes,Credit card,1,0
211,32,63.69,2712.89,One year,Fiber optic,Yes,Bank transfer,3,0
212,9,92.95,6968.09,Two year,No,No,Mailed check,1,0
213,19,96.55,686.53,Month-to-month,Fiber optic,No,Bank transfer,3,1
214,48,35.89,1704.79,Month-to-month,DSL,Yes,Electronic check,4,1
215,3,81.02,6024.7,Month-to-month,DSL,No,Bank transfer,1,1
216,20,33.54,429.32,Month-to-month,DSL,No,Electronic check,2,1
217,24,95.14,3950.43,Month-to-month,DSL,Yes,Electronic check,0,0
218,54,85.7,3548.01,One year,DSL,No,Credit card,3,0
219,33,115.66,2688.52,Month-to-month,DSL,No,Credit card,1,1
220,24,26.9,3168.69,One year,Fiber optic,No,Electronic check,2,1
221,36,25.71,4248.93,Month-to-month,No,Yes,Mailed check,1,0
222,38,48.22,1307.71,Month-to-month,DSL,Yes,Mailed check,2,0
223,25,46.17,4584.53,One year,Fiber optic,Yes,Mailed check,1,0
224,18,44.7,6447.35,Month-to-month,Fiber optic,Yes,Bank transfer,4,1
225,66,110.63,6086.08,Two year,DSL,Yes,Electronic check,1,0
226,54,44.95,1248.12,One year,No,No,Credit card,1,1
227,35,47.19,1211.01,Month-to-month,Fiber optic,No,Bank transfer,1,1
228,61,95.94,2160.03,Two year,Fiber optic,No,Bank transfer,2,0
229,41,64.97,2901.38,Month-to-month,Fiber optic,Yes,Credit card,0,0
230,33,97.67,3279.48,Month-to-month,DSL,No,Electronic check,1,1
231,68,26.54,5443.98,One year,Fiber optic,No,Bank transfer,2,0
232,33,68.76,472.31,Month-to-month,DSL,No,Electronic check,1,1
233,14,23.36,296.69,Two year,No,No,Electronic check,1,0
234,21,26.27,3147.45,Two year,Fiber optic,No,Electronic check,3,0
235,48,110.64,5583.37,Two year,Fiber optic,No,Credit card,1,0
236,20,33.92,1563.61,Month-to-month,DSL,Yes,Electronic check,1,0
237,8,73.24,5139.21,Month-to-month,Fiber optic,No,Bank transfer,1,1
238,7,61.11,2093.43,One year,Fiber optic,Yes,Credit card,4,0
239,67,54.73,7090.97,Month-to-month,Fiber optic,Yes,Credit card,0,0
240,17,109.98,7167.61,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
241,33,22.18,2392.35,Month-to-month,Fiber optic,Yes,Credit card,4,0
242,48,86.38,1855.35,Month-to-month,No,Yes,Bank transfer,0,0
243,59,116.34,3302.21,Month-to-month,Fiber optic,Yes,Mailed check,2,1
244,22,76.02,1939.44,Two year,No,Yes,Bank transfer,1,0
245,30,113.68,5385.62,Two year,No,No,Credit card,0,0
246,38,25.23,6612.0,Month-to-month,Fiber optic,Yes,Bank transfer,1,1
247,51,61.88,5391.28,Month-to-month,DSL,No,Mailed check,0,1
248,54,46.02,6598.32,Month-to-month,Fiber optic,Yes,Electronic check,1,0
249,8,93.08,3188.0,Two year,No,No,Electronic check,1,0
250,27,118.13,1267.41,Month-to-month,DSL,No,Electronic check,0,0
251,27,45.65,5908.85,One year,Fiber optic,No,Credit card,2,0
252,21,85.42,2896.59,Month-to-month,No,No,Mailed check,0,1
253,30,39.81,5376.74,One year,Fiber optic,Yes,Bank transfer,3,0
254,28,76.53,2179.74,Month-to-month,Fiber optic,No,Bank transfer,1,1
255,64,66.39,668.21,One year,DSL,No,Bank transfer,2,1
256,69,117.2,7940.8,Month-to-month,DSL,No,Bank transfer,1,0
257,61,80.85,1266.49,One year,Fiber optic,No,Credit card,0,0
258,48,54.95,7907.6,Month-to-month,DSL,Yes,Credit card,0,1
259,19,31.41,7818.69,One year,DSL,No,Mailed check,0,0
260,4,35.12,6354.67,Two year,No,Yes,Bank transfer,2,0
261,35,42.53,5282.2,Month-to-month,DSL,No,Electronic check,4,1
262,64,45.1,4630.9,Two year,No,Yes,Credit card,4,0
263,49,105.06,6931.49,One year,No,No,Mailed check,1,0
264,17,76.12,2329.73,Month-to-month,DSL,Yes,Mailed check,1,1
265,44,72.34,3752.1,Month-to-month,DSL,Yes,Credit card,2,1
266,30,31.48,4962.73,Month-to-month,Fiber optic,No,Electronic check,2,1
267,46,106.01,3301.3,One year,Fiber optic,No,Electronic check,3,0
268,6,92.28,3431.34,One year,DSL,No,Bank transfer,3,1
269,37,26.77,2655.67,Month-to-month,Fiber optic,Yes,Credit card,2,1
270,24,90.78,4522.57,Month-to-month,DSL,Yes,Electronic check,1,1
271,46,74.35,6807.58,Two year,No,No,Credit card,3,0
272,53,28.17,1628.2,Two year,DSL,No,Mailed check,2,0
273,60,65.83,7476.78,Month-to-month,DSL,No,Mailed check,0,1
274,63,68.47,5518.92,Two year,DSL,No,Mailed check,3,0
275,32,36.58,6589.72,Month-to-month,No,No,Credit card,2,1
276,33,114.57,4458.4,Month-to-month,Fiber optic,No,Bank transfer,3,1
277,67,105.0,6240.54,Two year,No,No,Bank transfer,1,1
278,18,86.9,149.28,Month-to-month,Fiber optic,No,Electronic check,1,1
279,25,66.23,6550.68,Month-to-month,DSL,No,Credit card,1,1
280,54,61.18,340.31,Month-to-month,DSL,No,Bank transfer,0,1
281,58,85.1,7121.51,Two year,Fiber optic,No,Credit card,0,1
282,67,74.54,7935.86,Two year,Fiber optic,Yes,Bank transfer,3,0
283,46,26.23,2366.66,Month-to-month,Fiber optic,Yes,Mailed check,0,0
284,24,71.25,1698.34,Month-to-month,DSL,Yes,Mailed check,1,0
285,32,100.64,6127.6,Month-to-month,No,No,Electronic check,4,1
286,47,65.92,2039.15,One year,DSL,Yes,Mailed check,2,0
287,23,25.2,6927.19,Month-to-month,No,Yes,Bank transfer,1,0
288,66,98.63,840.68,One year,DSL,No,Electronic check,3,0
289,27,40.14,1025.12,Month-to-month,Fiber optic,No,Electronic check,2,1
290,2,45.86,7833.63,Month-to-month,DSL,No,Mailed check,1,1
291,17,36.47,5397.23,Month-to-month,Fiber optic,No,Credit card,0,1
292,33,53.02,6778.16,Month-to-month,Fiber optic,No,Mailed check,0,1
293,9,95.68,2608.15,Two year,Fiber optic,No,Mailed check,3,0
294,43,71.94,5418.34,Month-to-month,Fiber optic,No,Electronic check,3,1
295,48,40.49,4762.05,Month-to-month,Fiber optic,No,Mailed check,1,1
296,39,107.78,4833.14,Month-to-month,Fiber optic,Yes,Bank transfer,3,1
297,42,107.96,5466.61,Month-to-month,No,No,Electronic check,1,1
298,26,107.06,4611.37,Month-to-month,DSL,Yes,Mailed check,1,1
299,50,43.88,3443.92,Month-to-month,Fiber optic,Yes,Credit card,4,1
300,25,65.12,2221.86,Month-to-month,Fiber optic,No,Bank transfer,1,1
301,24,118.5,6153.28,One year,Fiber optic,Yes,Credit card,2,0
302,13,97.2,1825.65,Month-to-month,Fiber optic,No,Bank transfer,1,1
303,60,22.72,5544.99,Month-to-month,DSL,No,Credit card,1,0
304,7,26.52,1882.0,Two year,DSL,No,Mailed check,2,1
305,57,66.39,5010.13,Month-to-month,DSL,No,Bank transfer,2,0
306,36,110.92,5981.68,Month-to-month,DSL,No,Electronic check,1,1
307,45,73.87,1765.34,Month-to-month,Fiber optic,Yes,Electronic check,2,1
308,20,69.78,498.35,Month-to-month,Fiber optic,No,Credit card,1,1
309,65,30.55,1065.17,One year,No,No,Credit card,1,0
310,8,85.68,4855.86,Month-to-month,Fiber optic,No,Credit card,1,1
311,16,102.21,6798.58,One year,DSL,No,Bank transfer,2,0
312,14,58.04,379.07,Month-to-month,No,Yes,Electronic check,1,0
313,15,97.56,5878.53,Month-to-month,No,Yes,Mailed check,1,1
314,66,116.45,2743.72,One year,Fiber optic,Yes,Bank transfer,1,0
315,32,40.38,3838.66,Month-to-month,Fiber optic,Yes,Credit card,2,0
316,63,72.33,7432.3,One year,No,No,Electronic check,1,0
317,51,48.71,2669.13,Month-to-month,Fiber optic,No,Credit card,2,1
318,25,99.29,3733.39,One year,No,Yes,Mailed check,0,0
319,58,77.76,129.19,Month-to-month,DSL,No,Mailed check,3,1
320,63,83.46,671.16,Two year,DSL,No,Electronic check,1,0
321,62,99.79,2083.56,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
322,22,59.6,242.26,Two year,Fiber optic,Yes,Mailed check,0,0
323,58,111.51,5058.38,Month-to-month,No,No,Mailed check,0,1
324,58,73.3,3422.66,One year,No,No,Mailed check,2,0
325,49,35.8,4394.2,Month-to-month,Fiber optic,No,Mailed check,1,1
326,52,89.59,1413.68,Two year,DSL,Yes,Credit card,0,0
327,42,99.33,2381.54,Month-to-month,No,No,Credit card,1,1
328,70,51.68,5317.32,Month-to-month,Fiber optic,Yes,Bank transfer,3,0
329,15,105.72,7723.12,Month-to-month,DSL,Yes,Electronic check,2,0
330,54,110.61,422.33,Month-to-month,Fiber optic,No,Electronic check,0,1
331,60,47.69,7125.27,Month-to-month,Fiber optic,Yes,Electronic check,1,1
332,8,118.35,4623.51,Two year,Fiber optic,Yes,Mailed check,0,0
333,53,34.07,4520.08,Two year,Fiber optic,Yes,Credit card,2,0
334,60,40.2,4012.22,Month-to-month,DSL,Yes,Credit card,0,1
335,5,38.42,573.76,Two year,No,No,Bank transfer,2,0
336,68,109.4,737.22,Month-to-month,Fiber optic,No,Electronic check,2,1
337,6,85.43,4815.28,Month-to-month,Fiber optic,Yes,Credit card,1,0
338,47,35.21,2740.85,One year,DSL,Yes,Bank transfer,2,0
339,55,64.03,7339.8,One year,Fiber optic,Yes,Electronic check,1,1
340,40,81.53,3264.59,Two year,DSL,No,Mailed check,0,0
341,52,28.35,1163.39,Month-to-month,DSL,Yes,Credit card,1,0
342,16,108.24,5723.46,One year,Fiber optic,No,Credit card,3,1
343,13,100.36,2360.96,Month-to-month,DSL,Yes,Electronic check,1,1
344,30,70.52,4213.25,Month-to-month,Fiber optic,Yes,Mailed check,2,0
345,19,116.71,5588.71,Month-to-month,DSL,No,Mailed check,0,1
346,17,61.78,7204.11,Two year,Fiber optic,No,Credit card,0,0
347,63,118.41,6341.69,Two year,DSL,Yes,Electronic check,4,0
348,19,86.79,5417.36,One year,DSL,No,Bank transfer,2,1
349,58,83.47,5443.47,Month-to-month,DSL,No,Credit card,2,1
350,55,36.6,7568.48,Month-to-month,No,No,Mailed check,3,1
351,62,108.19,2380.68,Month-to-month,No,No,Bank transfer,2,1
352,23,62.75,28.87,Month-to-month,DSL,No,Electronic check,1,1
353,9,36.22,2190.2,Month-to-month,Fiber optic,No,Mailed check,3,1
354,12,21.26,1758.77,One year,Fiber optic,Yes,Bank transfer,1,0
355,1,75.98,5301.44,Month-to-month,No,No,Credit card,0,1
356,58,72.74,5077.02,Month-to-month,Fiber optic,No,Mailed check,1,1
357,1,91.94,4755.82,Month-to-month,Fiber optic,Yes,Electronic check,2,1
358,34,109.03,149.62,Month-to-month,DSL,Yes,Mailed check,2,1
359,48,27.94,5835.65,Month-to-month,Fiber optic,Yes,Credit card,2,1
360,1,93.15,2601.77,Two year,No,No,Electronic check,0,0
361,16,38.74,5327.15,One year,Fiber optic,No,Credit card,0,0
362,61,105.82,4461.5,Two year,DSL,No,Bank transfer,2,0
363,64,101.91,2754.99,Month-to-month,DSL,Yes,Mailed check,2,0
364,63,74.08,1093.92,Month-to-month,Fiber optic,No,Credit card,3,1
365,69,91.02,773.46,Month-to-month,Fiber optic,No,Bank transfer,2,1
366,22,51.44,6655.52,Two year,Fiber optic,Yes,Electronic check,2,0
367,67,67.12,7348.81,One year,No,No,Electronic check,2,0
368,26,102.16,5205.31,Month-to-month,DSL,No,Bank transfer,1,0
369,16,65.93,845.4,Month-to-month,DSL,No,Bank transfer,1,0
370,51,55.78,3228.18,Month-to-month,No,No,Electronic check,2,1
371,57,69.42,5836.93,One year,DSL,No,Credit card,0,0
372,29,102.82,6242.97,Two year,DSL,Yes,Bank transfer,4,0
373,69,53.52,963.38,One year,Fiber optic,No,Credit card,0,0
374,47,37.38,20.25,Month-to-month,No,Yes,Electronic check,1,0
375,62,91.2,5702.85,Month-to-month,DSL,Yes,Credit card,3,0
376,69,102.6,2865.64,Month-to-month,No,Yes,Credit card,1,1
377,16,30.06,2050.76,Month-to-month,Fiber optic,No,Bank transfer,0,1
378,48,43.99,122.92,Month-to-month,DSL,No,Credit card,0,1
379,39,34.2,4331.59,One year,Fiber optic,Yes,Credit card,2,0
380,33,54.79,6812.18,One year,Fiber optic,Yes,Credit card,0,0
381,23,65.04,7661.9,Month-to-month,Fiber optic,No,Electronic check,2,1
382,10,94.88,4534.64,Two year,Fiber optic,No,Electronic check,0,0
383,69,85.11,4125.4,Month-to-month,No,No,Mailed check,4,1
384,34,82.09,698.75,Month-to-month,DSL,No,Electronic check,0,1
385,52,55.24,4400.0,Month-to-month,Fiber optic,No,Electronic check,1,1
386,10,104.14,3052.23,Month-to-month,Fiber optic,Yes,Mailed check,3,1
